309.194, 129.331, 4.054,  6.369 False
309.059, 129.333, 4.053,  6.402 False
308.924, 129.332, 4.053,  6.435 False
308.789, 129.334, 4.061,  6.468 False
308.653, 129.334, 4.093,  6.501 False
308.516, 129.336, 4.139,  6.534 False
308.376, 129.336, 4.206,  6.567 False
308.234, 129.339, 4.271,  6.600 False
308.089, 129.339, 4.340,  6.633 False
307.943, 129.343, 4.394,  6.666 False
307.795, 129.344, 4.442,  6.699 False
307.646, 129.347, 4.466,  6.732 False
307.497, 129.349, 4.480,  6.765 False
307.348, 129.353, 4.467,  6.798 False
307.200, 129.355, 4.453,  6.831 False
307.052, 129.360, 4.444,  6.864 False
306.904, 129.362, 4.460,  6.897 False
306.755, 129.367, 4.498,  6.930 False
306.603, 129.374, 4.561,  6.963 False
306.450, 129.384, 4.613,  6.996 False
306.294, 129.394, 4.685,  7.029 False
306.137, 129.406, 4.735,  7.062 False
305.978, 129.418, 4.786,  7.095 False
305.818, 129.433, 4.803,  7.128 False
305.658, 129.447, 4.820,  7.161 False
305.499, 129.464, 4.813,  7.194 False
305.339, 129.481, 4.822,  7.227 False
305.179, 129.501, 4.833,  7.260 False
305.018, 129.520, 4.877,  7.293 False
304.856, 129.542, 4.911,  7.326 False
304.692, 129.564, 4.967,  7.359 False
304.527, 129.589, 5.002,  7.392 False
304.361, 129.613, 5.051,  7.425 False
304.194, 129.641, 5.069,  7.458 False
304.026, 129.667, 5.096,  7.491 False
303.859, 129.697, 5.086,  7.524 False
303.693, 129.725, 5.075,  7.557 False
303.528, 129.758, 5.052,  7.590 False
303.362, 129.787, 5.061,  7.623 False
303.195, 129.816, 5.083,  7.656 False
303.027, 129.844, 5.121,  7.689 False
302.858, 129.875, 5.160,  7.722 False
302.687, 129.903, 5.209,  7.755 False
302.515, 129.935, 5.250,  7.788 False
302.341, 129.964, 5.293,  7.821 False
302.166, 129.996, 5.326,  7.854 False
301.990, 130.026, 5.354,  7.887 False
301.815, 130.059, 5.364,  7.920 False
301.638, 130.089, 5.370,  7.953 False
301.463, 130.124, 5.374,  7.986 False
301.286, 130.155, 5.394,  8.019 False
301.109, 130.191, 5.427,  8.052 False
300.929, 130.224, 5.482,  8.085 False
300.749, 130.261, 5.536,  8.118 False
300.566, 130.298, 5.604,  8.151 False
300.382, 130.338, 5.655,  8.184 False
300.196, 130.376, 5.710,  8.217 False
300.009, 130.417, 5.747,  8.250 False
299.820, 130.456, 5.781,  8.283 False
299.632, 130.499, 5.791,  8.316 False
299.443, 130.539, 5.797,  8.349 False
299.255, 130.582, 5.800,  8.382 False
299.066, 130.623, 5.820,  8.415 False
298.876, 130.668, 5.851,  8.448 False
298.684, 130.711, 5.905,  8.481 False
298.492, 130.758, 5.956,  8.514 False
298.296, 130.803, 6.021,  8.547 False
298.100, 130.851, 6.072,  8.580 False
297.901, 130.898, 6.127,  8.613 False
297.702, 130.949, 6.159,  8.646 False
297.502, 130.997, 6.187,  8.679 False
297.300, 131.038, 6.183,  8.712 False
297.099, 131.084, 6.184,  8.745 False
296.898, 131.125, 6.180,  8.778 False
296.697, 131.171, 6.196,  8.811 False
296.494, 131.212, 6.222,  8.844 False
296.290, 131.257, 6.273,  8.877 False
296.084, 131.299, 6.318,  8.910 False
295.876, 131.344, 6.376,  8.943 False
295.666, 131.385, 6.420,  8.976 False
295.456, 131.430, 6.467,  9.009 False
295.243, 131.471, 6.493,  9.042 False
295.031, 131.515, 6.515,  9.075 False
294.818, 131.555, 6.509,  9.108 False
294.606, 131.599, 6.501,  9.141 False
294.393, 131.638, 6.490,  9.174 False
294.181, 131.680, 6.500,  9.207 False
293.967, 131.719, 6.522,  9.240 False
293.753, 131.761, 6.566,  9.273 False
293.536, 131.799, 6.606,  9.306 False
293.318, 131.841, 6.658,  9.339 False
293.099, 131.879, 6.696,  9.372 False
292.878, 131.921, 6.737,  9.405 False
292.656, 131.958, 6.755,  9.438 False
292.434, 131.999, 6.773,  9.471 False
292.211, 132.036, 6.781,  9.504 False
291.988, 132.076, 6.802,  9.537 False
291.764, 132.112, 6.831,  9.570 False
291.538, 132.152, 6.881,  9.603 False
291.311, 132.187, 6.924,  9.636 False
291.082, 132.226, 6.977,  9.669 False
290.851, 132.262, 7.013,  9.702 False
290.619, 132.299, 7.054,  9.735 False
290.385, 132.331, 7.062,  9.768 False
290.152, 132.364, 7.082,  9.801 False
289.918, 132.395, 7.105,  9.834 False
289.682, 132.429, 7.146,  9.867 False
289.445, 132.459, 7.178,  9.900 False
289.207, 132.491, 7.222,  9.933 False
288.967, 132.520, 7.249,  9.966 False
288.726, 132.550, 7.279,  9.999 False
288.485, 132.577, 7.286, 10.032 False
288.244, 132.606, 7.296, 10.065 False
288.002, 132.631, 7.308, 10.098 False
287.759, 132.656, 7.342, 10.131 False
287.514, 132.678, 7.372, 10.164 False
287.268, 132.701, 7.426, 10.197 False
287.020, 132.720, 7.464, 10.230 False
286.771, 132.740, 7.515, 10.263 False
286.520, 132.756, 7.544, 10.296 False
286.268, 132.770, 7.577, 10.329 False
286.016, 132.780, 7.578, 10.362 False
285.763, 132.787, 7.591, 10.395 False
285.510, 132.790, 7.593, 10.428 False
285.256, 132.792, 7.634, 10.461 False
285.001, 132.790, 7.669, 10.494 False
284.744, 132.787, 7.733, 10.527 False
284.485, 132.778, 7.773, 10.560 False
284.224, 132.772, 7.832, 10.593 False
283.962, 132.762, 7.870, 10.626 False
283.699, 132.754, 7.908, 10.659 False
283.436, 132.742, 7.918, 10.692 False
283.172, 132.731, 7.918, 10.725 False
282.909, 132.716, 7.904, 10.758 False
282.647, 132.701, 7.907, 10.791 False
282.384, 132.682, 7.917, 10.824 False
282.120, 132.664, 7.952, 10.857 False
281.855, 132.642, 7.970, 10.890 False
281.590, 132.621, 7.977, 10.923 False
281.327, 132.595, 7.957, 10.956 False
281.063, 132.572, 7.943, 10.989 False
280.800, 132.544, 7.926, 11.022 False
280.537, 132.518, 7.941, 11.055 False
280.274, 132.487, 7.957, 11.088 False
280.010, 132.457, 7.982, 11.121 False
279.746, 132.423, 7.974, 11.154 False
279.483, 132.390, 7.953, 11.187 False
279.222, 132.353, 7.908, 11.220 False
278.962, 132.318, 7.877, 11.253 False
278.704, 132.278, 7.847, 11.286 False
278.445, 132.240, 7.852, 11.319 False
278.187, 132.197, 7.861, 11.352 False
277.927, 132.156, 7.893, 11.385 False
277.667, 132.110, 7.914, 11.418 False
277.406, 132.067, 7.931, 11.451 False
277.146, 132.019, 7.922, 11.484 False
276.887, 131.974, 7.912, 11.517 False
276.628, 131.925, 7.898, 11.550 False
276.369, 131.879, 7.905, 11.583 False
276.109, 131.829, 7.921, 11.616 False
275.849, 131.781, 7.943, 11.649 False
275.587, 131.740, 7.937, 11.682 False
275.327, 131.697, 7.926, 11.715 False
275.066, 131.657, 7.903, 11.748 False
274.806, 131.614, 7.895, 11.781 False
274.546, 131.576, 7.895, 11.814 False
274.285, 131.535, 7.922, 11.847 False
274.023, 131.498, 7.949, 11.880 False
273.760, 131.459, 7.975, 11.913 False
273.496, 131.424, 7.966, 11.946 False
273.234, 131.386, 7.937, 11.979 False
272.973, 131.353, 7.889, 12.012 False
272.714, 131.318, 7.849, 12.045 False
272.455, 131.287, 7.815, 12.078 False
272.197, 131.253, 7.810, 12.111 False
271.938, 131.224, 7.818, 12.144 False
271.679, 131.192, 7.850, 12.177 False
271.418, 131.165, 7.881, 12.210 False
271.155, 131.134, 7.910, 12.243 False
270.893, 131.108, 7.904, 12.276 False
270.632, 131.080, 7.881, 12.309 False
270.371, 131.055, 7.842, 12.342 False
270.112, 131.029, 7.814, 12.375 False
269.853, 131.007, 7.794, 12.408 False
269.594, 130.982, 7.804, 12.441 False
269.336, 130.950, 7.817, 12.474 False
269.076, 130.922, 7.851, 12.507 False
268.814, 130.901, 7.870, 12.540 False
268.552, 130.878, 7.894, 12.573 False
268.289, 130.858, 7.897, 12.606 False
268.027, 130.835, 7.892, 12.639 False
267.765, 130.817, 7.877, 12.672 False
267.503, 130.796, 7.879, 12.705 False
267.242, 130.768, 7.886, 12.738 False
266.979, 130.744, 7.917, 12.771 False
266.715, 130.727, 7.933, 12.804 False
266.451, 130.707, 7.954, 12.837 False
266.187, 130.681, 7.946, 12.870 False
265.923, 130.657, 7.933, 12.903 False
265.660, 130.641, 7.904, 12.936 False
265.398, 130.622, 7.897, 12.969 False
265.135, 130.607, 7.901, 13.002 False
264.872, 130.589, 7.928, 13.035 False
264.607, 130.575, 7.952, 13.068 False
264.342, 130.559, 7.971, 13.101 False
264.077, 130.536, 7.955, 13.134 False
263.813, 130.517, 7.934, 13.167 False
263.551, 130.495, 7.907, 13.200 False
263.288, 130.475, 7.895, 13.233 False
263.026, 130.463, 7.889, 13.266 False
262.762, 130.447, 7.916, 13.299 False
262.498, 130.435, 7.948, 13.332 False
262.232, 130.420, 7.980, 13.365 False
261.966, 130.410, 7.979, 13.398 False
261.701, 130.397, 7.950, 13.431 False
261.438, 130.377, 7.891, 13.464 False
261.178, 130.362, 7.835, 13.497 False
260.919, 130.343, 7.781, 13.530 False
260.661, 130.327, 7.750, 13.563 False
260.404, 130.318, 7.730, 13.596 False
260.146, 130.306, 7.746, 13.629 False
259.887, 130.297, 7.770, 13.662 False
259.627, 130.286, 7.806, 13.695 False
259.367, 130.269, 7.821, 13.728 False
259.106, 130.254, 7.829, 13.761 False
258.845, 130.247, 7.814, 13.794 False
258.585, 130.237, 7.820, 13.827 False
258.324, 130.221, 7.826, 13.860 False
258.063, 130.207, 7.862, 13.893 False
257.800, 130.200, 7.890, 13.926 False
257.536, 130.191, 7.926, 13.959 False
257.272, 130.175, 7.922, 13.992 False
257.009, 130.162, 7.895, 14.025 False
256.748, 130.146, 7.844, 14.058 False
256.488, 130.133, 7.792, 14.091 False
256.230, 130.126, 7.737, 14.124 False
255.973, 130.117, 7.713, 14.157 False
255.717, 130.111, 7.705, 14.190 False
255.459, 130.103, 7.725, 14.223 False
255.202, 130.088, 7.745, 14.256 False
254.942, 130.077, 7.782, 14.289 False
254.682, 130.072, 7.803, 14.322 False
254.421, 130.065, 7.828, 14.355 False
254.160, 130.051, 7.833, 14.388 False
253.899, 130.040, 7.840, 14.421 False
253.638, 130.037, 7.836, 14.454 False
253.376, 130.030, 7.861, 14.487 False
253.113, 130.017, 7.884, 14.520 False
252.850, 130.006, 7.915, 14.553 False
252.586, 130.003, 7.913, 14.586 False
252.323, 129.997, 7.898, 14.619 False
252.061, 129.984, 7.860, 14.652 False
251.800, 129.974, 7.833, 14.685 False
251.540, 129.971, 7.807, 14.718 False
251.279, 129.966, 7.816, 14.751 False
251.019, 129.954, 7.829, 14.784 False
250.757, 129.945, 7.865, 14.817 False
250.494, 129.942, 7.886, 14.850 False
250.230, 129.938, 7.911, 14.883 False
249.966, 129.926, 7.907, 14.916 False
249.703, 129.917, 7.898, 14.949 False
249.441, 129.916, 7.872, 14.982 False
249.179, 129.911, 7.868, 15.015 False
248.917, 129.900, 7.869, 15.048 False
248.654, 129.892, 7.900, 15.081 False
248.389, 129.891, 7.927, 15.114 False
248.124, 129.887, 7.964, 15.147 False
247.858, 129.876, 7.962, 15.180 False
247.594, 129.868, 7.934, 15.213 False
247.331, 129.858, 7.878, 15.246 False
247.071, 129.850, 7.820, 15.279 False
246.812, 129.849, 7.756, 15.312 False
246.555, 129.845, 7.719, 15.345 False
