-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.034,  0.148
-183.800, 80.198, 0.033,  0.181
-183.800, 80.196, 0.037,  0.214
-183.800, 80.193, 0.105,  0.247
-183.798, 80.187, 0.209,  0.280
-183.796, 80.176, 0.317,  0.313
-183.792, 80.162, 0.446,  0.346
-183.786, 80.143, 0.591,  0.379
-183.777, 80.118, 0.753,  0.412
-183.764, 80.088, 0.939,  0.445
-183.746, 80.053, 1.082,  0.478
-183.724, 80.014, 1.203,  0.511
-183.697, 79.973, 1.295,  0.544
-183.666, 79.930, 1.396,  0.577
-183.631, 79.886, 1.489,  0.610
-183.592, 79.840, 1.559,  0.643
-183.552, 79.793, 1.608,  0.676
-183.509, 79.747, 1.649,  0.709
-183.465, 79.700, 1.683,  0.742
-183.421, 79.653, 1.709,  0.775
-183.376, 79.607, 1.726,  0.808
-183.330, 79.562, 1.735,  0.841
-183.285, 79.516, 1.736,  0.874
-183.239, 79.472, 1.731,  0.907
-183.194, 79.429, 1.721,  0.940
-183.149, 79.386, 1.708,  0.973
-183.104, 79.344, 1.693,  1.006
-183.059, 79.303, 1.678,  1.039
-183.015, 79.263, 1.663,  1.072
-182.971, 79.224, 1.653,  1.105
-182.928, 79.184, 1.648,  1.138
-182.885, 79.145, 1.646,  1.171
-182.842, 79.106, 1.650,  1.204
-182.801, 79.066, 1.656,  1.237
-182.759, 79.026, 1.665,  1.270
-182.719, 78.984, 1.674,  1.303
-182.680, 78.943, 1.681,  1.336
-182.642, 78.900, 1.685,  1.369
-182.605, 78.857, 1.689,  1.402
-182.568, 78.813, 1.688,  1.435
-182.534, 78.769, 1.684,  1.468
-182.500, 78.724, 1.680,  1.501
-182.467, 78.678, 1.675,  1.534
-182.435, 78.632, 1.670,  1.567
-182.405, 78.586, 1.666,  1.600
-182.375, 78.539, 1.663,  1.633
-182.346, 78.492, 1.662,  1.666
-182.318, 78.444, 1.663,  1.699
-182.291, 78.396, 1.666,  1.732
